국가,확진자,사망자,완치자,치명(%),완치(%),발생률
도미니카 공화국🇩🇴,"317,645(+858)","3,758(+2)","259,649(+1,476)",1.2,81.7,"29,282"
팔레스타인🇵🇸,"312,811(+138)","3,554(+3)","306,312(+72)",1.1,97.9,"61,318"
덴마크🇩🇰,"291,956(+155)","2,531","285,375(+623)",0.9,97.7,"50,405"
과테말라🇬🇹,"280,854(+347)","8,735(+41)","254,700(+760)",3.1,90.7,"15,677"
리투아니아🇱🇹,"278,466(+59)","4,371(+4)","265,966(+333)",1.6,95.5,"102,291"
이집트🇪🇬,"277,797(+509)","15,898(+39)","206,053(+440)",5.7,74.2,"2,715"
에티오피아🇪🇹,"275,318(+124)","4,286(+3)","255,502(+554)",1.6,92.8,"2,395"
아일랜드🇮🇪,"269,321(+273)","4,979(+38)","253,288(+343)",1.8,94.0,"54,543"
바레인🇧🇭,"263,295(+403)","1,311(+5)","254,913(+1,003)",0.5,96.8,"154,736"
베네수엘라🇻🇪,"262,038(+1,298)","2,973(+15)","242,357(+1,424)",1.1,92.5,"9,215"
슬로베니아🇸🇮,"257,066(+65)","4,416(+1)","251,243(+219)",1.7,97.7,"123,653"
몰도바🇲🇩,"256,187(+47)","6,173(+3)","249,216(+39)",2.4,97.3,"63,508"
온두라스🇭🇳,"254,194(+319)","6,772(+6)","91,862(+134)",2.7,36.1,"25,664"
오만🇴🇲,"252,609(+2,037)","2,782(+41)","221,250(+1,079)",1.1,87.6,"49,467"
스리랑카🇱🇰,"241,820(+2,131)","2,633(+52)","201,389",1.1,83.3,"11,293"
태국🇹🇭,"225,365(+4,059)","1,693(+35)","187,836(+2,047)",0.8,83.3,"3,229"
아르메니아🇦🇲,"224,330(+77)","4,502(+3)","216,182(+70)",2.0,96.4,"75,704"
카타르🇶🇦,"221,119(+189)",584(+1),"218,584(+149)",0.3,98.9,"76,749"
보스니아 헤르체고비나🇧🇦,"204,860(+46)","9,643(+13)","180,245(+387)",4.7,88.0,"62,442"
리비아🇱🇾,"191,253(+215)","3,181(+3)","176,649(+199)",1.7,92.4,"27,834"
케냐🇰🇪,"179,293(+218)","3,461(+5)","122,965(+261)",1.9,68.6,"3,334"
쿠바🇨🇺,"169,365(+1,561)","1,170(+11)","159,775(+1,287)",0.7,94.3,"14,953"
나이지리아🇳🇬,"167,292(+86)","2,118(+1)","163,797(+240)",1.3,97.9,812
북마케도니아🇲🇰,"155,627","5,477","149,877",3.5,96.3,"74,700"
대한민국🇰🇷,"151,901(+395)","2,006(+2)","143,817(+549)",1.3,94.7,"2,963"
미얀마🇲🇲,"148,617(+595)","3,265(+3)","133,753(+147)",2.2,90.0,"2,731"
라트비아🇱🇻,"136,975(+125)","2,497(+1)","132,721",1.8,96.9,"72,620"
알제리🇩🇿,"136,294(+473)","3,641(+10)","94,822(+251)",2.7,69.6,"3,108"
잠비아🇿🇲,"133,659(+3,028)","1,744(+53)","111,844(+1,394)",1.3,83.7,"7,270"
알바니아🇦🇱,"132,491(+1)","2,455(+1)","129,929(+11)",1.9,98.1,"46,039"
에스토니아🇪🇪,"130,855(+37)","1,269(+1)","126,798(+102)",1.0,96.9,"98,644"
노르웨이🇳🇴,"129,545(+212)",790,"88,952",0.6,68.7,"23,896"
키르기스스탄🇰🇬,"116,546(+931)","1,945(+8)","105,932(+522)",1.7,90.9,"17,864"
아프가니스탄🇦🇫,"107,957(+2,202)","4,366(+73)","65,565(+494)",4.0,60.7,"2,773"
코소보🇽🇰,"107,247","2,256","105,025",2.1,97.9,"59,237"
우즈베키스탄🇺🇿,"106,847(+395)",720(+2),"102,546(+383)",0.7,96.0,"3,192"
몬테네그로🇲🇪,"100,092(+17)","1,605","98,189(+22)",1.6,98.1,"159,365"
몽골🇲🇳,"98,050(+2,231)",459(+12),"64,354(+886)",0.5,65.6,"29,909"
가나🇬🇭,"95,059(+146)",794(+1),"93,005(+124)",0.8,97.8,"3,059"
핀란드🇫🇮,"94,489(+110)",967,"46,000",1.0,48.7,"17,054"
중국🇨🇳,"91,629(+25)","4,636","86,481(+35)",5.1,94.4,64
카메룬🇨🇲,"80,328","1,313","78,162",1.6,97.3,"3,026"
엘살바도르🇸🇻,"77,484(+384)","2,341(+9)","71,603(+256)",3.0,92.4,"11,946"
나미비아🇳🇦,"75,766(+1,084)","1,179(+15)","60,484(+808)",1.6,79.8,"29,819"
키프로스🇨🇾,"73,710(+67)",374,"72,083(+94)",0.5,97.8,"61,051"
우간다🇺🇬,"72,679(+1,136)",680(+20),"49,794(+262)",0.9,68.5,"1,589"
모잠비크🇲🇿,"72,577(+70)",848,"70,241(+192)",1.2,96.8,"2,322"
몰디브🇲🇻,"72,149(+253)",206,"67,148(+769)",0.3,93.1,"133,475"
룩셈부르크🇱🇺,"70,535(+19)",818,"69,459(+165)",1.2,98.5,"112,680"
보츠와나🇧🇼,"65,808(+2,561)","1,069(+129)","59,616(+1,075)",1.6,90.6,"27,984"
싱가포르🇸🇬,"62,448(+18)",35(+1),"62,070(+28)",0.1,99.4,"10,674"
자메이카🇯🇲,"49,712(+44)","1,034(+1)","28,793(+173)",2.1,57.9,"16,788"
코트디부아르🇨🇮,"48,047(+3)",308,"47,487(+42)",0.6,98.8,"1,821"
캄보디아🇰🇭,"44,124(+678)",459(+18),"38,766(+763)",1.0,87.9,"2,639"
세네갈🇸🇳,"42,472(+35)","1,159(+1)","40,963(+49)",2.7,96.4,"2,537"
짐바브웨🇿🇼,"42,195(+416)","1,685(+13)","37,200(+16)",4.0,88.2,"2,839"
마다가스카르🇲🇬,"42,137",903,"40,469",2.1,96.0,"1,522"
콩고민주공화국🇨🇩,"38,330(+521)",888(+9),"27,969(+31)",2.3,73.0,428
앙골라🇦🇴,"37,748(+70)",868(+9),"31,782(+106)",2.3,84.2,"1,149"
수단🇸🇩,"36,347","2,737","30,062",7.5,82.7,829
말라위🇲🇼,"34,914(+46)","1,171(+3)","32,891(+20)",3.4,94.2,"1,825"
카보베르데🇨🇻,"32,039(+37)",283,"31,091(+103)",0.9,97.0,"57,625"
르완다🇷🇼,"31,435(+622)",388(+6),"26,704",1.2,84.9,"2,427"
트리니다드 토바고🇹🇹,"30,767(+148)",747(+10),"21,872(+264)",2.4,71.1,"21,984"
몰타 공화국🇲🇹,"30,595(+5)",420,"30,148(+1)",1.4,98.5,"69,291"
호주🇦🇺,"30,366(+14)",910,"29,272",3.0,96.4,"1,191"
레위니옹🇷🇪,"28,441",220,"26,333",0.8,92.6,"31,767"
프랑스령 기아나🇬🇫,"26,647(+197)",142(+5),"9,995",0.5,37.5,"89,215"
시리아🇸🇾,"25,158(+40)","1,848(+3)","21,747(+9)",7.3,86.4,"1,438"
가봉🇬🇦,"24,864",158,"24,264",0.6,97.6,"11,171"
기니🇬🇳,"23,535(+85)",168,"22,282(+32)",0.7,94.7,"1,792"
모리타니🇲🇷,"20,365(+29)",481,"19,438(+25)",2.4,95.4,"4,380"
수리남🇸🇷,"20,141(+116)",467(+7),"15,424(+101)",2.3,76.6,"34,333"
마요트🇾🇹,"19,389",174,"2,964",0.9,15.3,"71,070"
가이아나🇬🇾,"19,144(+48)",449(+2),"17,175(+102)",2.3,89.7,"24,339"
프랑스령 폴리네시아🇵🇫,"18,972(+9)",142,"18,805(+18)",0.7,99.1,"67,538"
에스와티니🇸🇿,"18,831(+18)",677,"18,039(+22)",3.6,95.8,"16,231"
아이티🇭🇹,"17,710(+339)",393(+8),"12,753(+86)",2.2,72.0,"1,553"
파푸아뉴기니🇵🇬,"17,013",173,"16,396",1.0,96.4,"1,902"
과들루프🇬🇵,"16,752",229,"2,250",1.4,13.4,"41,867"
소말리아🇸🇴,"14,867(+15)",775,"7,204(+54)",5.2,48.5,935
세이셸🇸🇨,"14,620(+497)",59(+4),"13,323(+818)",0.4,91.1,"148,657"
말리🇲🇱,"14,385(+4)",524,"10,036(+3)",3.6,69.8,710
대만🇹🇼,"14,155(+75)",569,"7,534(+6,401)",4.0,53.2,594
안도라🇦🇩,"13,864",127,"13,665",0.9,98.6,"179,434"
토고🇹🇬,"13,731(+10)",128,"13,358(+3)",0.9,97.3,"1,659"
베트남🇻🇳,"13,630(+147)",69(+2),"5,453",0.5,40.0,140
부르키나파소🇧🇫,"13,469",167,"13,293",1.2,98.7,644
타지키스탄🇹🇯,"13,308",90,"13,218",0.7,99.3,"1,395"
벨리즈🇧🇿,"13,039(+35)",329(+1),"12,568(+17)",2.5,96.4,"32,792"
바하마🇧🇸,"12,364(+69)",243(+2),"11,322(+92)",2.0,91.6,"31,441"
퀴라소🇨🇼,"12,319(+1)",125,"12,161(+1)",1.0,98.7,"75,073"
콩고공화국🇨🇬,"12,298",161,"11,211",1.3,91.2,"2,229"
마르티니크🇲🇶,"12,178",98,98,0.8,0.8,"32,452"
홍콩🇭🇰,"11,896(+7)",210,"11,616(+2)",1.8,97.6,"1,587"
지부티🇩🇯,"11,591(+4)",155,"11,431(+4)",1.3,98.6,"11,732"
아루바🇦🇼,"11,112(+4)",107,"10,975(+2)",1.0,98.8,"104,078"
레소토🇱🇸,"11,107(+26)",329,"6,445",3.0,58.0,"5,185"
남수단🇸🇸,"10,786(+16)",115,"10,514",1.1,97.5,964
동티모르🇹🇱,"8,781(+53)",19,"7,762(+95)",0.2,88.4,"6,660"
적도 기니🇬🇶,"8,708(+10)",120,"8,489",1.4,97.5,"6,207"
베냉🇧🇯,"8,140",103,"7,979",1.3,98.0,671
니카라과🇳🇮,"7,696",188,"4,225",2.4,54.9,"1,162"
중앙아프리카 공화국🇨🇫,"7,129(+28)",98,"6,859",1.4,96.2,"1,476"
예멘🇾🇪,"6,889(+4)","1,355","3,958(+5)",19.7,57.5,231
아이슬란드🇮🇸,"6,630(+3)",30,"6,576",0.5,99.2,"19,429"
감비아🇬🇲,"6,045(+21)",181,"5,837(+10)",3.0,96.6,"2,501"
니제르🇳🇪,"5,469",193,"5,178",3.5,94.7,226
에리트레아🇪🇷,"5,421(+59)",19,"4,897(+79)",0.4,90.3,"1,529"
부룬디🇧🇮,"5,242(+121)",8,773,0.2,14.7,441
세인트루시아🇱🇨,"5,218(+2)",80,"5,065(+4)",1.5,97.1,"28,416"
산마리노🇸🇲,"5,090",90,"4,999",1.8,98.2,"150,010"
차드🇹🇩,"4,947(+1)",174,"4,768",3.5,96.4,301
시에라리온🇸🇱,"4,879(+63)",82,"3,269(+5)",1.7,67.0,612
지브롤터🇬🇮,"4,323(+2)",94,"4,214(+3)",2.2,97.5,"128,313"
바베이도스🇧🇧,"4,045(+2)",47,"3,988(+2)",1.2,98.6,"14,076"
코모로🇰🇲,"3,912(+4)",146,"3,745",3.7,95.7,"4,499"
기니비사우🇬🇼,"3,825",69,"3,558",1.8,93.0,"1,944"
라이베리아🇱🇷,"3,109(+114)",99(+4),"2,169(+64)",3.2,69.8,615
리히텐슈타인🇱🇮,"3,028(+2)",59,"2,957(+2)",1.9,97.7,"79,417"
뉴질랜드🇳🇿,"2,720",26,"2,671",1.0,98.2,564
신트마르턴🇸🇽,"2,575(+5)",32,"2,487(+10)",1.2,96.6,"60,057"
모나코🇲🇨,"2,549(+1)",33,"2,481(+7)",1.3,97.3,"64,956"
버뮤다🇧🇲,"2,504",33,"2,461",1.3,98.3,"40,207"
터크스 케이커스 제도🇹🇨,"2,424",18,"2,389",0.7,98.6,"62,608"
상투메 프린시페🇸🇹,"2,362",37,"2,314",1.6,98.0,"10,778"
피지🇫🇯,"2,270(+180)",9(+2),618(+86),0.4,27.2,"2,532"
세인트빈센트 그레나딘🇻🇨,"2,196(+1)",12,"1,936(+1)",0.5,88.2,"19,794"
세인트마틴 섬🇲🇫,"2,133",12,"1,399",0.6,65.6,"55,165"
라오스🇱🇦,"2,067(+13)",3,"1,954(+6)",0.1,94.5,284
부탄🇧🇹,"1,939(+15)",1,"1,685(+9)",0.1,86.9,"2,513"
모리셔스🇲🇺,"1,701",18,"1,265",1.1,74.4,"1,338"
카리브 네덜란드🇧🇶,"1,633(+1)",17,"1,602(+3)",1.0,98.1,"62,274"
맨섬🇮🇲,"1,599",29,"1,566",1.8,97.9,"18,804"
앤티가 바부다🇦🇬,"1,263",42,"1,221",3.3,96.7,"12,897"
생바르텔레미🇧🇱,"1,005",1,462,0.1,46.0,"101,752"
페로 제도🇫🇴,768(+2),1,755,0.1,98.3,"15,717"
케이맨 제도🇰🇾,609(+1),2,587,0.3,96.4,"9,266"
탄자니아🇹🇿,509,21,183,4.1,36.0,9
왈리스 퓌티나🇼🇫,445,7,438,1.6,98.4,-
세인트키츠 네비스🇰🇳,350(+9),2(+1),75,0.6,21.4,"6,579"
브루나이🇧🇳,256(+1),3,245(+1),1.2,95.7,585
영국령 버진아일랜드🇻🇬,248,1,209,0.4,84.3,"8,203"
도미니카 연방🇩🇲,191,0,189,-,99.0,"2,653"
그레나다🇬🇩,161,1,160,0.6,99.4,"1,431"
뉴칼레도니아🇳🇨,129,0,58,-,45.0,452
앵귈라🇦🇮,109,0,109,-,100,"7,265"
포클랜드 제도🇫🇰,63,0,63,-,100,"18,103"
마카오🇲🇴,53,0,51,-,96.2,82
그린란드🇬🇱,50(+1),0,40,-,80,881
바티칸 시국🇻🇦,27,0,27,-,100,"33,708"
생피에르 미클롱🇵🇲,26,0,25,-,96.2,"4,487"
몬트세랫🇲🇸,20,1,19,5,95,"4,006"
솔로몬 제도🇸🇧,20,0,20,-,100,29
서사하라🇪🇭,10,1,8,10,80,17
잔담(크루즈)🚢,9,2,7,22.2,77.8,-
마셜 제도🇲🇭,4,0,4,-,100,68
바누아투🇻🇺,4,1,3,25,75,13
사모아🇼🇸,3,0,3,-,100,15
세인트헬레나🇸🇭,2,0,2,-,100,329
미크로네시아🇫🇲,1,0,1,-,100,9
